date,open,close,low,high,volume
2010-01-04,312.304948382,312.205308358,310.955000817,313.580158083,3927000
2010-01-05,312.419511472,310.830458632,309.610028105,312.748278173,6031900
2010-01-06,311.761978566,302.994812557,302.048369558,311.761978566,7987100
2010-01-07,303.562685032,295.941242071,295.218950896,303.86157472,12876600
2010-01-08,294.895159047,299.886469888,293.455550553,300.499172329,9483900
2010-01-11,301.10192606,299.433161001,295.911365555,301.10192606,14479800
2010-01-12,297.709616768,294.138016503,292.902632525,297.963675992,9742900
2010-01-13,287.169102205,292.449323638,285.878938555,293.091932981,13041800
2010-01-14,290.8602703,293.824173364,290.317331369,295.99104689,8511900
2010-01-15,295.562671048,288.917548598,287.941228585,295.672259783,10909600
2010-01-19,289.515327974,292.713331572,287.069492566,294.108109103,8665700
2010-01-20,291.896405113,289.121803003,286.571353215,291.896405113,6525700
2010-01-21,290.631144122,290.401987059,285.057037741,292.314832245,12662600
2010-01-22,281.196496497,273.978527716,266.431792233,284.235106541,13651700
2010-01-25,272.274911289,268.992221616,266.75558458,273.913769446,8872800
2010-01-26,267.980989462,270.197698193,267.144134699,273.774303698,8743600
2010-01-27,269.624851862,270.03830464,266.655974942,272.802927654,7958400
2010-01-28,271.228828265,266.147856494,264.309748674,272.479135307,6482300
2010-01-29,268.24002304,263.98098247,261.824057156,269.485355728,8311900
2010-02-01,266.302306079,265.51522575,264.16030383,266.905029424,4518400
2010-02-02,266.481627439,264.56878275,262.820335859,266.481627439,8223000
2010-02-03,263.348351725,269.400669652,263.129174256,270.03830464,6020500
2010-02-04,267.497803561,262.406883081,261.799154995,267.995942913,6780600
2010-02-05,263.21386083,264.653468826,260.254963006,265.754331523,6335600
2010-02-08,265.256222557,265.739408458,264.77300627,269.988469434,5408700
2010-02-09,268.763064552,267.218872563,266.536406613,269.7543689,5660200
2010-02-10,266.038267262,266.227568215,262.860191968,267.891328533,5369000
2010-02-11,265.664670594,267.198944259,263.761805001,269.236301743,4838000
2010-02-12,265.490323589,265.565060955,264.259943854,267.572541425,4576400
2010-02-16,267.433045291,269.639774927,266.152861235,271.049506407,7336100
2010-02-17,269.988469434,268.100557292,267.801667604,270.685858449,4074500
2010-02-18,267.766816734,270.59619752,267.069427719,271.487861843,4691200
2010-02-19,269.256229549,269.370792638,268.842776771,270.999701588,5125300
2010-02-22,272.65348281,270.386999147,269.490360967,272.728220176,4305100
2010-02-23,270.486608786,266.536406613,265.151608178,270.800451924,5766600
2010-02-24,265.993437295,264.743129755,264.264918707,268.215120382,4670500
2010-02-25,262.576255731,262.232536076,259.02952724,263.258691295,6643100
2010-02-26,262.725700575,262.416862177,260.763051067,264.882625889,4113800
2010-03-01,263.612360157,265.350857841,262.885094129,265.649747529,4492500
2010-03-02,266.740661017,269.520237482,266.506530098,271.811653692,8746200
2010-03-03,270.167821678,271.642281042,268.618624449,273.037058574,6201800
2010-03-04,272.230080824,276.259995216,272.08063598,277.027116856,6391300
2010-03-05,279.627371463,281.052026008,278.905080288,282.775570241,7853700
2010-03-08,281.335962245,280.190269084,279.457998813,281.535211909,4790600
2010-03-09,278.880178127,279.049520391,277.211413068,281.27617833,6376900
2010-03-10,280.827874184,287.149173901,280.055778189,288.170354764,11352100
2010-03-11,286.058290799,289.485420575,286.028383399,292.010968202,8498200
2010-03-12,292.97236515,288.688422419,288.499121466,293.042097775,5527400
2010-03-15,282.282436129,280.538963592,276.962358585,283.662260209,9342600
2010-03-16,279.866477236,281.545191004,279.33345613,283.149166909,6888600
2010-03-17,283.089413878,281.724512364,281.071954312,284.65850802800003,6668000
2010-03-18,281.306085232,282.142939995,280.429374857,283.159146503,3567600
2010-03-19,278.954885107,278.954885107,277.599963187,282.939969034,9624200
2010-03-22,277.01713776,277.709551921,276.105576017,282.367091818,8039600
2010-03-23,277.480425743,273.47541401,269.988469434,278.113055989,11043800
2010-03-24,271.736916326,277.624865846,268.842776771,278.880178127,13179500
2010-03-25,278.466724851,280.389518748,278.287403492,284.932495555,7891200
2010-03-26,281.580042373,280.294883464,278.964864203,282.636104991,5412500
2010-03-29,280.449302663,280.175315634,279.238820846,281.306085232,6232200
2010-03-30,280.364616587,282.297359193,279.094381241,282.755642435,3970500
2010-03-31,281.47045314,282.501613598,280.354636993,283.806699814,6084200
2010-04-01,284.608703209,283.338467863,281.719538009,285.654786731,4221100
2010-04-05,284.384551385,284.439330559,283.438077501,286.367129196,3817200
2010-04-06,283.667234564,283.049557769,281.644800643,284.37957703,4135600
2010-04-07,282.591274527,280.71828545,279.881430687,283.313565702,5181200
2010-04-08,280.608696715,282.685909312,278.979787268,283.861509873,3909500
2010-04-09,282.685909312,282.053279066,280.947411628,283.323514412,4128600
2010-04-12,282.616176687,285.296143514,282.053279066,285.92877376,4722400
2010-04-13,285.196503489,292.289930085,284.499114474,293.340987463,7853900
2010-04-14,293.928787744,293.400771877,290.915080359,295.064531697,6830900
2010-04-15,294.979845621,296.539021447,293.047103015,297.804282438,13574200
2010-04-16,280.449302663,274.048260341,273.789226763,283.343442217,24562600
2010-04-19,273.350871326,274.023358181,271.482887488,275.961105528,7817100
2010-04-20,276.050766457,276.48414704,274.501569228,278.785512457,5977000
2010-04-21,277.191484764,276.115524727,275.049513399,279.079427292,4800800
2010-04-22,274.969832064,272.509042707,270.660956288,275.218886049,6585900
2010-04-23,272.60367799,271.477913133,270.122991213,273.634807564,4194300
2010-04-26,271.467933539,264.827816329,263.617364898,271.477913133,8770300
2010-04-27,263.48784786,263.542627034,262.631034905,268.160341208,7718100
2010-04-28,265.056942508,263.607385802,259.54262054,266.416869169,6837700
2010-04-29,265.689573252,265.007137688,262.352103907,267.248749079,6140700
2010-04-30,264.573757105,261.86888762,261.739401466,267.836549359,4888900
2010-05-03,262.267417333,264.309748674,261.560049222,265.46542093,3729500
2010-05-04,262.277366043,252.239980129,251.16400465,262.386955275,12198000
2010-05-05,249.555038948,253.928642608,249.300995166,256.897535468,9198600
2010-05-06,253.4255294,248.404341544,229.141521324,257.794173648,10037600
2010-05-07,249.051925242,245.64966724,239.766707517,251.716938617,10216000
2010-05-10,256.025798951,259.851458938,255.343348443,260.434284365,8286800
2010-05-11,256.87263281,253.574973746,253.161520968,258.969773711,6670000
